run_id,task,input_id,depth,condition,paraphrase_idx,position,position_idx,divergence,out_len,base_len,len_ratio,schema_violation,judge_score,base_judge_score,agent_model,backend,embedder
summarization|sum_0|d1|control|r0,summarization,sum_0,1,control,,,,0.003090798854827881,761,784,0.9706632653061225,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d1|control|r1,summarization,sum_0,1,control,,,,0.0123215913772583,769,784,0.9808673469387755,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d1|control|r2,summarization,sum_0,1,control,,,,0.003090798854827881,761,784,0.9706632653061225,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d1|control|r3,summarization,sum_0,1,control,,,,0.003090798854827881,761,784,0.9706632653061225,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d1|control|r4,summarization,sum_0,1,control,,,,0.003090798854827881,761,784,0.9706632653061225,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d2|control|r0,summarization,sum_0,2,control,,,,0.0,698,698,1.0,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d2|control|r1,summarization,sum_0,2,control,,,,7.855892181396484e-05,695,698,0.995702005730659,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d2|control|r2,summarization,sum_0,2,control,,,,7.855892181396484e-05,695,698,0.995702005730659,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d2|control|r3,summarization,sum_0,2,control,,,,0.009598851203918457,708,698,1.0143266475644699,,9,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d2|control|r4,summarization,sum_0,2,control,,,,7.855892181396484e-05,695,698,0.995702005730659,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d3|control|r1,summarization,sum_0,3,control,,,,0.003990292549133301,627,615,1.0195121951219512,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d3|control|r0,summarization,sum_0,3,control,,,,0.1580713391304016,1012,615,1.6455284552845528,,7,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d3|control|r2,summarization,sum_0,3,control,,,,0.0,615,615,1.0,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d3|control|r3,summarization,sum_0,3,control,,,,0.0,615,615,1.0,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d3|control|r4,summarization,sum_0,3,control,,,,0.0,615,615,1.0,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d4|control|r1,summarization,sum_0,4,control,,,,0.076610267162323,695,619,1.122778675282714,,7,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d4|control|r0,summarization,sum_0,4,control,,,,1.1920928955078125e-07,619,619,1.0,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d4|control|r2,summarization,sum_0,4,control,,,,1.1920928955078125e-07,619,619,1.0,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d4|control|r3,summarization,sum_0,4,control,,,,0.0002701282501220703,618,619,0.9983844911147012,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d4|control|r4,summarization,sum_0,4,control,,,,0.020355939865112305,623,619,1.0064620355411955,,7,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
code_review|cr_0|d1|control|r0,code_review,cr_0,1,control,,,,0.16901016235351562,1839,1807,1.0177089097952408,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
code_review|cr_0|d1|control|r1,code_review,cr_0,1,control,,,,0.1089402437210083,1675,1807,0.926950747094632,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
code_review|cr_0|d1|control|r2,code_review,cr_0,1,control,,,,5.960464477539063e-08,1807,1807,1.0,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
code_review|cr_0|d1|control|r3,code_review,cr_0,1,control,,,,0.13483083248138428,1844,1807,1.020475926950747,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
code_review|cr_0|d1|control|r4,code_review,cr_0,1,control,,,,0.026780009269714355,1706,1807,0.9441062534587714,,8,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
research_plan|rp_0|d1|control|r0,research_plan,rp_0,1,control,,,,0.05297112464904785,1500,1411,1.0630758327427356,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
research_plan|rp_0|d1|control|r1,research_plan,rp_0,1,control,,,,0.049341678619384766,1425,1411,1.009922041105599,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
research_plan|rp_0|d1|control|r2,research_plan,rp_0,1,control,,,,0.048355162143707275,1393,1411,0.9872430900070872,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
research_plan|rp_0|d1|control|r3,research_plan,rp_0,1,control,,,,0.045082032680511475,1423,1411,1.0085046066619419,,8,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
research_plan|rp_0|d1|control|r4,research_plan,rp_0,1,control,,,,0.13438057899475098,1373,1411,0.9730687455705174,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
code_review|cr_0|d2|control|r1,code_review,cr_0,2,control,,,,0.01013028621673584,2983,3565,0.8367461430575035,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
code_review|cr_0|d2|control|r2,code_review,cr_0,2,control,,,,0.08131790161132812,2338,3565,0.655820476858345,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
code_review|cr_0|d2|control|r0,code_review,cr_0,2,control,,,,0.08069175481796265,3184,3565,0.8931276297335203,,8,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
code_review|cr_0|d2|control|r3,code_review,cr_0,2,control,,,,0.09704053401947021,3213,3565,0.9012622720897616,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
code_review|cr_0|d2|control|r4,code_review,cr_0,2,control,,,,0.09199702739715576,2432,3565,0.6821879382889201,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
research_plan|rp_0|d2|control|r0,research_plan,rp_0,2,control,,,,0.18328988552093506,3524,3515,1.0025604551920342,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
