task,depth,n,mean_divergence,ci_lo,ci_hi
ALL,1,150,0.09955865462621048,0.09075274256865178,0.10836571649710332
ALL,2,300,0.11004755139350886,0.10128882863620912,0.11926422321796411
ALL,3,445,0.16343063250016632,0.1505009193634719,0.1760738445567281
ALL,4,440,0.12719429650089956,0.11857089771127156,0.1364305446533994
code_review,1,50,0.11135433673858638,0.09878422901034352,0.12441236311197275
code_review,2,100,0.09926017761230466,0.08759895868599411,0.11295181834697719
code_review,3,150,0.09895765423774716,0.08918481907248492,0.10964803071816757
code_review,4,150,0.15169831911722817,0.14293049807349836,0.16067948066194848
research_plan,1,50,0.10355898261070248,0.09152513372898098,0.11588118302822108
research_plan,2,100,0.1729285991191864,0.163725832208991,0.18258794233202932
research_plan,3,145,0.32190840655359726,0.3054025314183071,0.33821375605361215
research_plan,4,140,0.18165285417011803,0.17347812314118657,0.189994459514107
summarization,1,50,0.08376264452934262,0.06474625879526134,0.1034894113540649
summarization,2,100,0.05795387744903561,0.04398288777470584,0.07370801615715021
summarization,3,150,0.07470842917760209,0.062109308997789985,0.08848399616281188
summarization,4,150,0.05186228672663367,0.03638305715719854,0.07167990766962365
