run_id,task,input_id,depth,condition,paraphrase_idx,position,position_idx,divergence,out_len,base_len,len_ratio,schema_violation,judge_score,base_judge_score,agent_model,backend,embedder
summarization|sum_0|d1|p0|first,summarization,sum_0,1,perturbed,0,first,0,0.0474165678024292,695,784,0.8864795918367347,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d1|p1|first,summarization,sum_0,1,perturbed,1,first,0,0.2671226263046264,494,784,0.6301020408163265,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d1|p2|first,summarization,sum_0,1,perturbed,2,first,0,0.1736460924148559,700,784,0.8928571428571429,,10,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d1|p0|first,summarization,sum_1,1,perturbed,0,first,0,0.0996214151382446,377,611,0.6170212765957447,,9,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d1|p1|first,summarization,sum_1,1,perturbed,1,first,0,0.1273530721664428,763,611,1.248772504091653,,9,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d1|p2|first,summarization,sum_1,1,perturbed,2,first,0,0.0567429661750793,577,611,0.944353518821604,,10,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d1|p0|first,summarization,sum_2,1,perturbed,0,first,0,0.0015771389007568,789,798,0.9887218045112782,,10,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d1|p1|first,summarization,sum_2,1,perturbed,1,first,0,0.1188513040542602,661,798,0.8283208020050126,,10,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d1|p2|first,summarization,sum_2,1,perturbed,2,first,0,0.1047364473342895,656,798,0.8220551378446115,,10,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d1|p0|first,summarization,sum_3,1,perturbed,0,first,0,0.1325030326843261,487,854,0.5702576112412178,,9,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d1|p1|first,summarization,sum_3,1,perturbed,1,first,0,0.1165366172790527,455,854,0.5327868852459017,,9,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d1|p2|first,summarization,sum_3,1,perturbed,2,first,0,0.137885570526123,487,854,0.5702576112412178,,9,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d1|p0|first,summarization,sum_4,1,perturbed,0,first,0,0.0096184015274047,562,586,0.9590443686006824,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d1|p1|first,summarization,sum_4,1,perturbed,1,first,0,0.0365700125694274,523,586,0.8924914675767918,,10,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d1|p2|first,summarization,sum_4,1,perturbed,2,first,0,0.0428494215011596,524,586,0.89419795221843,,10,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d2|p0|first,summarization,sum_0,2,perturbed,0,first,0,0.0218852758407592,794,698,1.1375358166189111,,6,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d2|p1|first,summarization,sum_0,2,perturbed,1,first,0,0.3412550687789917,523,698,0.7492836676217765,,7,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d2|p2|first,summarization,sum_0,2,perturbed,2,first,0,0.3415896892547607,548,698,0.7851002865329513,,6,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
