run_id,task,input_id,depth,condition,paraphrase_idx,position,position_idx,divergence,out_len,base_len,len_ratio,schema_violation,judge_score,base_judge_score,agent_model,backend,embedder
summarization|sum_0|d1|p0|first,summarization,sum_0,1,perturbed,0,first,0,0.0474165678024292,695,784,0.8864795918367347,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d1|p1|first,summarization,sum_0,1,perturbed,1,first,0,0.26712262630462646,494,784,0.6301020408163265,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d1|p2|first,summarization,sum_0,1,perturbed,2,first,0,0.17364609241485596,700,784,0.8928571428571429,,10,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d1|p0|first,summarization,sum_1,1,perturbed,0,first,0,0.09962141513824463,377,611,0.6170212765957447,,9,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d1|p1|first,summarization,sum_1,1,perturbed,1,first,0,0.12735307216644287,763,611,1.248772504091653,,9,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_1|d1|p2|first,summarization,sum_1,1,perturbed,2,first,0,0.056742966175079346,577,611,0.9443535188216039,,10,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d1|p0|first,summarization,sum_2,1,perturbed,0,first,0,0.001577138900756836,789,798,0.9887218045112782,,10,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d1|p1|first,summarization,sum_2,1,perturbed,1,first,0,0.11885130405426025,661,798,0.8283208020050126,,10,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_2|d1|p2|first,summarization,sum_2,1,perturbed,2,first,0,0.10473644733428955,656,798,0.8220551378446115,,10,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d1|p0|first,summarization,sum_3,1,perturbed,0,first,0,0.13250303268432617,487,854,0.5702576112412178,,9,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d1|p1|first,summarization,sum_3,1,perturbed,1,first,0,0.11653661727905273,455,854,0.5327868852459017,,9,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_3|d1|p2|first,summarization,sum_3,1,perturbed,2,first,0,0.13788557052612305,487,854,0.5702576112412178,,9,10,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d1|p0|first,summarization,sum_4,1,perturbed,0,first,0,0.009618401527404785,562,586,0.9590443686006825,,9,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d1|p1|first,summarization,sum_4,1,perturbed,1,first,0,0.03657001256942749,523,586,0.8924914675767918,,10,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d1|p2|first,summarization,sum_4,1,perturbed,2,first,0,0.04284942150115967,524,586,0.89419795221843,,10,9,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d2|p0|first,summarization,sum_0,2,perturbed,0,first,0,0.021885275840759277,794,698,1.1375358166189111,,6,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d2|p1|first,summarization,sum_0,2,perturbed,1,first,0,0.3412550687789917,523,698,0.7492836676217765,,7,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
