task,depth,n,p50,p90,p95,max,catastrophe_rate,cat_ci_lo,cat_ci_hi
ALL,1,150,0.09271633625030509,0.17571182250976555,0.1883944749832153,0.2671226263046264,0.0,0.0,0.0
ALL,2,300,0.09898543357849116,0.21279250383377074,0.2653815090656281,0.3936398029327392,0.023333333333333334,0.006666666666666667,0.043333333333333335
ALL,3,445,0.1043567061424255,0.3880224823951722,0.44039052724838246,0.5977272391319275,0.2,0.16404494382022472,0.23595505617977527
ALL,4,440,0.1264371275901794,0.22863932251930236,0.25375420451164243,1.0097734928131104,0.022727272727272728,0.00909090909090909,0.03636363636363636
code_review,1,50,0.10846897959709159,0.179123854637146,0.18719697594642637,0.2120948433876037,0.0,0.0,0.0
code_review,2,100,0.08638167381286616,0.15073581933975216,0.19357537031173697,0.3936398029327392,0.03,0.0,0.07
code_review,3,150,0.08775734901428214,0.15363685488700857,0.1846639245748519,0.49558025598526,0.013333333333333334,0.0,0.03333333333333333
code_review,4,150,0.14687842130661005,0.22682217359542842,0.24167189598083488,0.335768461227417,0.013333333333333334,0.0,0.03333333333333333
research_plan,1,50,0.0864285826683044,0.17215524911880492,0.1873526811599731,0.2033249139785766,0.0,0.0,0.0
research_plan,2,100,0.1630640029907226,0.24279117584228516,0.26560174226760863,0.299237847328186,0.0,0.0,0.0
research_plan,3,145,0.3158828020095825,0.4627882957458495,0.4856284856796263,0.5977272391319275,0.5724137931034483,0.4896551724137931,0.6482758620689655
research_plan,4,140,0.17340254783630366,0.24653617143630982,0.27575359642505637,0.3467609882354736,0.02142857142857143,0.0,0.05
summarization,1,50,0.08653596043586725,0.14941010475158684,0.2227867811918256,0.2671226263046264,0.0,0.0,0.0
summarization,2,100,0.0282534062862396,0.14194997549057017,0.21233907639980296,0.3797146081924438,0.04,0.01,0.08
summarization,3,150,0.05515158176422115,0.14659954905509928,0.24773354232311157,0.5236220955848694,0.02666666666666667,0.006666666666666667,0.05333333333333334
summarization,4,150,0.019138723611831603,0.12273052334785459,0.17449661791324597,1.0097734928131104,0.03333333333333333,0.006666666666666667,0.06666666666666667
